"cmpgn_id","cmpgn_nm","cmpgn_ofer_id","copn_plcy_nm","pt_dt","cl","copn_plcy_sta_dt","copn_plcy_end_dt","cnts_prod_id","cnt"
C2600JE,<캣 앤 독> 할인쿠폰 프로모션,A1SA1020261000120747,"[캣 앤 독 런칭] 영화 5,500원 할인","20260530",SMART,"20260428","20260531",PPV 등,3
C2600N0,"26년 5월_B tv+ 당첨자_UI 541 이상_2(1770)",DummyOffer,,,SMART,,,PPV 등,788395
C2600MI,JTBC 월정액 첫달 무료_6월 1차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,"20260626",SMART,"20260119","20261231",PM30000269,29661
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",A1CP1020261000120870,[6월 한정] B tv+ 첫달 무료,"20260604",SMART,"20260520","20260630",PM30000107,23387
C2600PR,"26년 6월_B tv+ 파격할인_UI 541 이상_1",A1CP1020261000120874,"[72시간 한정] B tv+ 12개월 월 5,500원 혜택","20260613",SMART,"20260526","20260614",PM30000107,38663
C2600M0,"26년 5월_B tv+ 비플리_UI 541 이상_2차(~5/25)_4(1770)",A1CP1020261000120859,[가정의 달] B tv+ 12개월 50% 할인 (~5/25),"20260524",SMART,"20260515","20260525",PM30000107,71114
C2600OB,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_3",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,,SMART,"20260520","20260630",PM30000107,23527
C2600T5,<마이클> 런칭 안내 팝업 (6/25),,,,SMART,,,PPV 등,6368368
C2600MI,JTBC 월정액 첫달 무료_6월 1차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,"20260606",SMART,"20260119","20261231",PM30000269,2275
C2600R1,JTBC 월정액 첫달 무료_6월 3차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,"20260624",SMART,"20260119","20261231",PM30000269,1499
C2600WD,통합 월정액 3개월 내내 80% 할인,A1CP1020261000121658,[쿨썸머 특가] 주요 월정액 3개월 내내 80% 할인 (택1),"20260722",SMART,"20260720","20260731",PM30000176,57504
C2600QM,[보정용][주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_1,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,"20260624",SMART,"20260520","20260630",PM30000107,2683
C2600UC,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_1",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),"20260706",SMART,"20260624","20260731",PM30000107,29743
C2600W7,"7월 성인 1+1 이열치열 프로모션 (7/21~/20)",A1SA1020261000121561,"[1+1 이열치열 이벤트] 3,300원 할인 쿠폰",,SMART,"20260716","20260831",PPV 등,2194
C2600TI,JTBC 월정액 3개월 70% 할인_7월 2차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,"20260731",SMART,"20260629","20260731",PM30000269,3084
C2600WC,"지상파 월정액 3개월 5,500원_7월 3차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원","20260731",SMART,"20260629","20260731",PM30000150,5687
C2600J5,"지상파 월정액 3개월 내내 5,500원_5월 1차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원","20260511",SMART,"20260422","20260531",PM30000150,705
