"cmpgn_id","cmpgn_nm","copn_plcy_num","copn_plcy_nm","cnts_prod_id","prod_nm","copn_yn","cmpgn_svc_cnt","copn_use_cnt","copn_use_sta_dt","toast_yn","toast_cmpgn_cnt","toast_show_cnt","toast_click_cnt","toast_go_cnt","toast_exit_cnt","toast_show_dt","smart_cmpgn_cnt","smart_show_cnt","smart_click_cnt","smart_go_cnt","smart_exit_cnt"
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1CP1020261000120865,[FREE PASS] B tv+ 1개월 무료_26년6월,PM30000107,B tv+,1,51974,896,"20260629",0,0,0,0,0,0,,10315,10313,8157,1583,7489
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1CP1020261000120866,[FREE PASS] 지상파 3사 1개월 무료_26년6월,PM30000150,지상파 3사 월정액,1,51974,498,"20260629",0,0,0,0,0,0,,10119,10118,8414,1488,7871
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1CP1020261000120867,[FREE PASS] CJ ENM 1개월 무료_26년6월,PM30000154,CJ ENM 월정액,1,51974,408,"20260629",0,0,0,0,0,0,,9241,9241,7703,1452,7117
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1SA1020261000120868,[FREE PASS] JTBC 1개월 무료_26년6월,PM30000269,JTBC 월정액,1,51850,144,"20260629",0,0,0,0,0,0,,8812,8812,7301,1281,6793
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1SA1020261000120869,[FREE PASS] SPOTV 프라임패키지 1개월 무료_26년6월,PM35000007,SPOTV 프라임패키지,1,51850,445,"20260629",0,0,0,0,0,0,,10483,10482,8643,1513,8058
C2600N5,(일회성) 6월 쿠폰팩 GCP(5/1~5/23가입)_TB,A1CP1020261000120865,[FREE PASS] B tv+ 1개월 무료_26년6월,PM30000107,B tv+,1,39468,616,"20260629",0,0,0,0,0,0,,34019,34016,28663,5213,26752
C2600N5,(일회성) 6월 쿠폰팩 GCP(5/1~5/23가입)_TB,A1CP1020261000120866,[FREE PASS] 지상파 3사 1개월 무료_26년6월,PM30000150,지상파 3사 월정액,1,39468,291,"20260629",0,0,0,0,0,0,,3959,3958,2365,226,2200
C2600N7,"2605_SPOTV B캐시 이벤트_토팝 추가",,-,,,0,190,0,,1,190,99,51,3,48,"20260531",0,0,0,0,0
C2600NA,"26년 5월 B tv+ 할인 연장 캠페인_1주년 5,500원",A1CP1020261000120954,"[가입 유지 선물] B tv+ 월 5,500원 혜택 6개월 자동 연장_5월",PM30000107,B tv+,1,2218,2216,"20260731",1,2218,1424,969,123,846,"20260619",0,0,0,0,0
C2600NC,"26년 5월 B tv+ 할인 연장 캠페인_1주년 4,400원",A1CP1020261000120955,"[가입 유지 선물] B tv+ 월 4,400원 혜택 6개월 자동 연장_5월",PM30000107,B tv+,1,594,594,"20260714",1,594,397,276,34,242,"20260611",0,0,0,0,0
C2600ND,"지상파 월정액 첫달 3,300원_6월 1차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,지상파 3사 월정액,1,499932,2664,"20260630",0,0,0,0,0,0,,421972,421956,378236,44049,372441
C2600NE,통합 월정액 첫달 무료_6월 1차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),PM30000176,"19월정액",1,499965,620,"20260627",0,0,0,0,0,0,,318224,318212,283809,18366,280323
C2600NG,SPOTV 6월 첫달무료_1차_0613 토팝,,-,,,0,1750323,0,,1,1750323,748884,360781,11346,349436,"20260731",0,0,0,0,0
C2600NH,<리 크로닌의 미이라> 할인쿠폰 프로모션,A1SA1020261000120855,"[리 크로닌의 미이라] 영화 3,300원 할인",,,1,1200,406,"20260617",1,1200,604,351,0,351,"20260627",798,798,674,57,654
C2600NI,<시에라 마드레: 카르텔 전쟁> 할인쿠폰 프로모션,A1SA1020261000120862,"[시에라 마드레: 카르텔 전쟁 런칭] 영화 5,500원 할인",,,1,879,433,"20260625",1,879,544,310,0,310,"20260616",539,539,451,58,428
C2600NJ,[팝업] 밸류애드팀 STB 교체(26.6.1))_1-1차,,-,,,0,293639,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NK,[팝업] 밸류애드팀 STB 교체(26.6.1))_1-2차,,-,,,0,276248,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NL,<쉘터> 할인쿠폰 프로모션,A1SA1020261000120861,"[쉘터 런칭] 영화 3,300원 할인",,,1,2000,588,"20260618",1,2000,1162,637,0,637,"20260621",1308,1308,1070,89,1030
C2600NM,<살목지> 런칭 안내 팝업 (5/29),,-,,,0,6343714,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NN,<코드 네임: 알라룸> 할인쿠폰 프로모션,A1SA1020261000120951,"[코드 네임: 알라룸 런칭] 영화 5,500원 할인",,,1,645,354,"20260630",1,645,384,212,0,212,"20260621",369,369,303,43,282
C2600NO,<푸틴: 절대 권력의 최후> 할인쿠폰 프로모션,A1SA1020261000120952,"[푸틴: 절대 권력의 최후 런칭] 영화 3,300원 할인",,,1,298,109,"20260627",1,298,173,98,0,98,"20260622",213,212,184,17,178
C2600NP,<모탈 컴뱃2> 할인쿠폰 프로모션,A1SA1020261000120959,"[모탈컴뱃2 런칭] 영화 5,500원 할인",,,1,1295,578,"20260629",1,1295,758,452,0,452,"20260625",780,780,661,90,623
C2600NQ,[팝업] 밸류애드팀 STB 교체(26.6.1))_1-3차,,-,,,0,327188,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NR,[팝업] 밸류애드팀 Btv 업_단기(26.6.2)_1-1차,,-,,,0,279775,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NS,[팝업] 밸류애드팀 Btv 업_단기(26.6.2)_1-2차,,-,,,0,295298,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NT,[팝업] 밸류애드팀 Btv 업_단기(26.6.2)_1-3차,,-,,,0,145836,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NU,[팝업] B tv All+(조합형)(26.6.2)_1-1차,,-,,,0,575800,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NV,[팝업] B tv 스탠다드+(조합형)_(26.6.2)_1-1차,,-,,,0,439917,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NW,[팝업] 밸류애드팀 Btv 업_장기(26.6.3)_1-1차,,-,,,0,402711,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NX,[팝업] 밸류애드팀 Btv 업_장기(26.6.3)_1-2차,,-,,,0,377892,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NY,[팝업] 밸류애드팀 Btv 업_장기(26.6.3)_1-3차,,-,,,0,174046,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600NZ,[팝업] 밸류애드팀 Btv 업_장기(26.6.3)_1-4차,,-,,,0,400461,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",A1CP1020261000120870,[6월 한정] B tv+ 첫달 무료,PM30000107,B tv+,1,1310361,2310,"20260713",1,1308489,987903,570989,26437,555733,"20260731",1035317,1035231,711944,50729,688529
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",DummyOffer,-,,,1,1308489,0,,1,1308489,987903,570989,26437,555733,"20260731",0,0,0,0,0
